N	IDADE	PROFI	ESTCIVIL	ESCOLAR	ANESTUD	RENDA	GASAUDE	GASLAZER	GASTEDU	NUNFILHOS	DELETAR
1	22	2	1	6	5	2	94,1	117,5	97,5	3	0
2	28	2	1	6	5	3	242,6	205,8	186,4	1	1
3	20	1	3	6	5	3	147,2	204,5	153,8	1	2
4	23	1	3	4	5	2	61,5	119,4	57,1	2	3
5	29	1	3	6	5	4	90,5	140,9	81,8	2	4
6	21	1	2	6	5	2	203,9	236,8	125,7	3	5
7	28	2	1	6	5	2	101,3	276,3	134,4	1	6
8	22	1	3	3	2	2	54,1	130	103,4	1	7
9	26	1	1	7	6	3	56,4	114,6	43,2	2	8
10	23	2	1	6	5	2	177,6	186,5	158,7	3	9
11	27	1	3	7	6	2	76,8	173,5	74	2	10
12	25	1	1	6	5	2	19	16,3	14	2	11
13	27	2	3	6	5	2	237,5	334,5	229	1	12
14	23	2	3	5	4	2	88,4	58	50,9	1	13
15	24	2	2	6	5	3	119,4	164	128,6	1	14
16	21	2	3	5	4	2	85,1	92,5	110,5	1	15
17	22	2	2	7	6	2	247,6	233,2	155,5	3	16
18	21	2	2	6	5	2	234,8	269,4	195,6	3	17
19	20	1	3	5	4	2	195,3	206,3	152,7	1	18
20	25	1	2	6	5	2	318,2	324,9	273,7	3	19
21	23	1	2	7	6	2	112,2	142,1	118,9	3	20
22	23	1	2	6	5	2	181	283,6	244,6	3	21
23	20	1	2	6	5	2	141,6	195,7	194,8	3	22
24	28	2	2	6	5	2	311,9	292,5	247,2	1	23
25	28	2	3	8	6	4	116,6	168,5	106,7	3	24
26	22	2	2	6	5	2	139,6	183	159	3	25
27	23	1	3	6	5	2	90,6	218,8	162,2	3	26
28	20	1	3	6	5	2	221,1	237,4	262	3	27
29	24	2	1	6	5	2	145,2	195,5	119,4	1	28
30	23	1	1	6	5	2	298,9	242,5	223,8	3	29
31	26	1	1	6	5	2	234,3	268,1	149,4	3	30
32	24	2	1	6	5	2	274,4	362,3	262,5	2	31
33	28	1	1	6	5	2	262	218,4	171,2	3	32
34	21	2	3	6	5	2	206,4	248	183,4	1	33
35	24	2	1	6	5	2	164,2	168,7	149,2	1	34
36	20	1	1	6	5	2	214,8	179,4	110,1	3	35
37	22	2	1	3	3	2	232	208,5	198,5	1	36
38	20	1	3	5	4	1	175,9	278,6	108,7	1	37
39	25	2	1	6	5	2	261,8	275,3	223,3	1	38
40	24	2	1	8	6	3	191,1	236,7	157,1	3	39
41	29	1	1	6	5	2	212,1	201,9	159,9	3	40
42	21	2	1	6	5	2	297,1	283,8	251,5	3	41
43	21	2	3	5	4	3	240,8	282,9	204,8	1	42
44	27	1	1	6	5	2	116,9	175,6	89,1	1	43
45	27	1	1	6	5	2	182,7	106,9	96	3	44
46	20	2	3	6	5	2	148,2	219,5	144,4	1	45
47	24	1	1	6	5	3	141,1	228,9	168,7	3	46
48	21	1	3	4	4	2	190,2	224,9	180,9	2	47
49	25	1	3	6	5	2	225,9	220,2	239,9	1	48
50	28	2	3	6	5	3	174,9	315,4	185,1	3	49
51	22	2	3	6	5	3	238,6	321,1	292,1	1	50
52	24	1	1	6	5	2	157,2	221,3	292,2	1	51
53	26	1	1	6	5	2	258	265,6	238,6	2	52
54	22	2	3	6	5	3	275,9	347,5	179,5	1	53
55	20	1	2	6	5	4	191,6	250,4	126,6	1	54
56	21	1	3	3	3	2	121,7	159,1	114,9	1	55
57	28	2	3	6	5	3	161,5	304,3	234,3	1	56
58	25	2	3	6	5	2	154,2	249,1	135,6	3	57
59	20	1	2	5	4	3	153	282	160	3	58
60	21	2	3	6	5	3	237,2	245,9	142,4	3	59
61	21	2	3	6	5	3	128,9	216,4	137,8	1	60
62	25	2	1	6	5	2	197	239	258	1	61
63	25	1	3	6	5	2	117,9	172,6	93,3	3	62
64	23	1	1	6	5	2	227,3	290,7	189,1	1	63
65	26	2	1	7	6	4	219,5	196,3	199,6	3	64
66	24	2	1	6	5	3	260,5	270,9	256,8	1	65
67	23	1	3	3	4	1	314	272	383	1	66
